Call Number,Digital Image,Link to Fedora,Title,Publisher / Printer,Year(s),Notes,Number of Sheets,Type of Map,Location,lat.top,lat.bot,long.left,long.right
MD 098,md098d.jpg,,"The Maryland Horse, a Horseman's Map of Maryland Showing the Distribution of Farms in the State and the Locations of Principle Race Tracks . . .","Eldredge, Robert",1965,,1,Thematic Map,Maryland,39° 43′ N,37° 53′ N,79° 29′ W,75° 03′ W
MD/DE 031,mdde031tr.jpg,,The Middle States: Maryland and Delaware also includes New Jersey and most of New York State,"Huntington, H. F. J.",1830,,1,Historical maps,Maryland and Delaware,39° 50′ N,37° 53′ N ,79° 29′ W,75° 03′ W 
BC 101,https://digital.lib.umd.eduhttp://hdl.handle.net/1903.1/12550%20,http://hdl.handle.net/1903.1/12550%20,The Plan for Improvement of the Channel of Jones Falls,"Tyson, Henry",1870,Originally bound with: Maryland F189.B1T9.,2,Historical maps,Maryland - Baltimore City,39° 17′ N,39° 17′ N,76° 36′ W,76° 36′ W
MD 123,md123.jpg,,The State of Maryland From the Best Authorities.,"Lewis, Samuel.",1794,,1,Historical maps,Maryland,39° 43′ N,37° 53′ N,79° 29′ W,75° 03′ W
MD 131,md131d-3.jpg,,"The State of Maryland, Complainant vs. the State of West Virginia",,1908,Originally bound with: Maryland F187.B7M29.,8,Historical maps,Maryland,39° 43′ N,37° 53′ N,79° 29′ W,75° 03′ W
MD/DE 020,mdde020d.jpg,,The States of Maryland and Delaware From the Latest Surveys,"Martin, D.",1795,Two copies: original and reproduction.,1,Historical maps,Maryland and Delaware,39° 50′ N,37° 53′ N ,79° 29′ W,75° 03′ W 
BC 221,poppleton.jpg,,The plan of the city of Baltimore as enlarged and laid out under the direction of the commissioners appointed by the general assembly of Maryland citizens,L.H. Poppleton,1818,Oversize map.,1,Historical maps,Baltimore County - Baltimore City,39° 17′ N,39° 17′ N,76° 36′ W,76° 36′ W
MD 164,md164.jpg,,"Topographical Atlas of Maryland, Counties of Baltimore and Harford",Walling and Grey.,1873,From atlas.,1,Historical maps,Baltimore County,39° 17′ N,39° 17′ N,76° 36′ W,76° 36′ W
MD 125,md125d.jpg,,Traffic Division Photo-electric Counter Stations and Toll Facilities,Maryland. State Roads Commission.,1958,,1,Transportation maps,Maryland,39° 43′ N,37° 53′ N,79° 29′ W,75° 03′ W
MD 107,md107.jpg,,Transportation Network in Maryland,A. Hoen & Co.,1966,Originally bound with: MD HC107.B2A1.,1,Transportation maps,Maryland,39° 43′ N,37° 53′ N,79° 29′ W,75° 03′ W
MD 114,md114.jpg,,Unknown title,[Maryland Geologist] Maryland Geological Survey,1834,Originally bound with: Maryland QE121.A11.,1,Historical maps,Maryland,39° 43′ N,37° 53′ N,79° 29′ W,75° 03′ W
MD/VA 040,mdva40.jpg,,Virginia,"Bry, Theodor de",1628,,1,Historical maps,Maryland and Virginia,39° 43′ N,36° 32′ N,83° 41′ W,75° 03' W 
MD/VA 001,mdva001.jpg,,Virginia and Maryland,Homann,1759,See also MD/VA 16 and Homann's Atlas (Rare Books G1015.H65 1751 OVERSIZE).,1,Historical maps,Maryland and Virginia,39° 43′ N,36° 32′ N,83° 41′ W,75° 03' W 
MD/VA 007,mdva007.jpg,,"Virginia and Maryland, 1732 (circa)","Moll, H",1732 (circa),,1,Historical maps,Maryland and Virginia,39° 43′ N,36° 32′ N,83° 41′ W,75° 03' W 
MD/VA 033,mdva133d-1.jpg,,"Virginia and Maryland, as it is Planted and Inhabited this Present Year 1670","Bohemiensis, Augustin Herman",1673,"Facsimile published by the John Carter Brown Library in 1967. For another facsimile of this map, see MD/VA 4.",1,Historical maps,Maryland and Virginia,39° 43′ N,36° 32′ N,83° 41′ W,75° 03' W 
G3790 1730.H65 MAP 0362,g3790_1730.h651.jpg,,"Virginia, Maryland et. Carolina.","Hermann, Johann Baptist.",,,1,,Maryland,39° 43′ N,37° 53′ N,79° 29′ W,75° 03′ W
MD/VA 043,mdva-043.jpg,http://hdl.handle.net/1903.1/12527,"Virginie, Grande Region de l'Amerique Septentrionale","Aa, Pierre van der",1729,,1,Historical maps,Maryland and Virginia,39° 43′ N,36° 32′ N,83° 41′ W,75° 03' W 
MD 086,md086tr.jpg,,Water Resources Investigations in Maryland,Geological Survey (U.S.),1962,,1,Hydrologic Map,Maryland,39° 43′ N,37° 53′ N,79° 29′ W,75° 03′ W
MD 140,md140d1.jpg,,Water Use in Maryland,"Wheeler, Judith C.",1983,,1,Thematic maps,Maryland,39° 43′ N,37° 53′ N,79° 29′ W,75° 03′ W
MD 155,md155d.jpg,,We the People of Maryland: a Cultural Heritage Map,Maryland Ethnic Heritage Commission,1990,,1,Thematic maps,Maryland,39° 43′ N,37° 53′ N,79° 29′ W,75° 03′ W
BC 021,bc021-1-oversize.jpg,,Zoning District Plan for the Re-zoning of Baltimore City,Baltimore Zoning Commission,1962,,2,Zoning maps,Baltimore City,39° 17′ N,39° 17′ N,76° 36′ W,76° 36′ W
